Brand_ID,Brand_Name,Generic_ID,Strength,Dosage_Form,Company_ID,Country,CDSCO_Status,Jan_Aushadhi_Available,Status,Last_Updated
BR000045,Brand 45,GEN000038,,,,India,,,Active,
BR000046,Brand 46,GEN000039,,,,India,,,Active,
BR000047,Brand 47,GEN000040,,,,India,,,Active,
BR000048,Brand 48,GEN000041,,,,India,,,Active,
BR000049,Brand 49,GEN000042,,,,India,,,Active,
BR000050,Brand 50,GEN000043,,,,India,,,Active,
BR000051,Brand 51,GEN000044,,,,India,,,Active,
BR000052,Brand 52,GEN000045,,,,India,,,Active,
BR000053,Brand 53,GEN000046,,,,India,,,Active,
BR000054,Brand 54,GEN000047,,,,India,,,Active,
BR000055,Brand 55,GEN000048,,,,India,,,Active,
BR000056,Brand 56,GEN000049,,,,India,,,Active,
BR000057,Brand 57,GEN000050,,,,India,,,Active,
BR000058,Brand 58,GEN000051,,,,India,,,Active,
BR000059,Brand 59,GEN000052,,,,India,,,Active,
BR000060,Brand 60,GEN000053,,,,India,,,Active,
BR000061,Brand 61,GEN000054,,,,India,,,Active,
BR000062,Brand 62,GEN000055,,,,India,,,Active,
BR000063,Brand 63,GEN000056,,,,India,,,Active,
BR000064,Brand 64,GEN000057,,,,India,,,Active,
BR000065,Brand 65,GEN000058,,,,India,,,Active,
BR000066,Brand 66,GEN000059,,,,India,,,Active,
BR000067,Brand 67,GEN000060,,,,India,,,Active,
BR000068,Brand 68,GEN000061,,,,India,,,Active,
BR000069,Brand 69,GEN000062,,,,India,,,Active,
BR000070,Brand 70,GEN000063,,,,India,,,Active,
BR000071,Brand 71,GEN000064,,,,India,,,Active,
BR000072,Brand 72,GEN000065,,,,India,,,Active,
BR000073,Brand 73,GEN000066,,,,India,,,Active,
BR000074,Brand 74,GEN000067,,,,India,,,Active,
BR000075,Brand 75,GEN000068,,,,India,,,Active,
BR000076,Brand 76,GEN000069,,,,India,,,Active,
BR000077,Brand 77,GEN000070,,,,India,,,Active,
BR000078,Brand 78,GEN000071,,,,India,,,Active,
BR000079,Brand 79,GEN000072,,,,India,,,Active,
BR000080,Brand 80,GEN000073,,,,India,,,Active,
BR000081,Brand 81,GEN000074,,,,India,,,Active,
BR000082,Brand 82,GEN000075,,,,India,,,Active,
BR000083,Brand 83,GEN000076,,,,India,,,Active,
BR000084,Brand 84,GEN000077,,,,India,,,Active,
BR000085,Brand 85,GEN000078,,,,India,,,Active,
BR000086,Brand 86,GEN000079,,,,India,,,Active,
BR000087,Brand 87,GEN000080,,,,India,,,Active,
BR000088,Brand 88,GEN000081,,,,India,,,Active,
BR000089,Brand 89,GEN000082,,,,India,,,Active,
BR000090,Brand 90,GEN000083,,,,India,,,Active,
BR000091,Brand 91,GEN000084,,,,India,,,Active,
BR000092,Brand 92,GEN000085,,,,India,,,Active,
BR000093,Brand 93,GEN000086,,,,India,,,Active,
BR000094,Brand 94,GEN000087,,,,India,,,Active,
BR000095,Brand 95,GEN000088,,,,India,,,Active,
BR000096,Brand 96,GEN000089,,,,India,,,Active,
BR000097,Brand 97,GEN000090,,,,India,,,Active,
BR000098,Brand 98,GEN000091,,,,India,,,Active,
BR000099,Brand 99,GEN000092,,,,India,,,Active,
BR000100,Brand 100,GEN000093,,,,India,,,Active,
BR000101,Brand 101,GEN000094,,,,India,,,Active,
BR000102,Brand 102,GEN000095,,,,India,,,Active,
BR000103,Brand 103,GEN000096,,,,India,,,Active,
BR000104,Brand 104,GEN000097,,,,India,,,Active,
BR000105,Brand 105,GEN000098,,,,India,,,Active,
BR000106,Brand 106,GEN000099,,,,India,,,Active,
BR000107,Brand 107,GEN000100,,,,India,,,Active,
BR000108,Brand 108,GEN000001,,,,India,,,Active,
BR000109,Brand 109,GEN000002,,,,India,,,Active,
BR000110,Brand 110,GEN000003,,,,India,,,Active,
BR000111,Brand 111,GEN000004,,,,India,,,Active,
BR000112,Brand 112,GEN000005,,,,India,,,Active,
BR000113,Brand 113,GEN000006,,,,India,,,Active,
BR000114,Brand 114,GEN000007,,,,India,,,Active,
BR000115,Brand 115,GEN000008,,,,India,,,Active,
BR000116,Brand 116,GEN000009,,,,India,,,Active,
BR000117,Brand 117,GEN000010,,,,India,,,Active,
BR000118,Brand 118,GEN000011,,,,India,,,Active,
BR000119,Brand 119,GEN000012,,,,India,,,Active,
BR000120,Brand 120,GEN000013,,,,India,,,Active,
BR000121,Brand 121,GEN000014,,,,India,,,Active,
BR000122,Brand 122,GEN000015,,,,India,,,Active,
BR000123,Brand 123,GEN000016,,,,India,,,Active,
BR000124,Brand 124,GEN000017,,,,India,,,Active,
BR000125,Brand 125,GEN000018,,,,India,,,Active,
BR000126,Brand 126,GEN000019,,,,India,,,Active,
BR000127,Brand 127,GEN000020,,,,India,,,Active,
BR000128,Brand 128,GEN000021,,,,India,,,Active,
BR000129,Brand 129,GEN000022,,,,India,,,Active,
BR000130,Brand 130,GEN000023,,,,India,,,Active,
BR000131,Brand 131,GEN000024,,,,India,,,Active,
BR000132,Brand 132,GEN000025,,,,India,,,Active,
BR000133,Brand 133,GEN000026,,,,India,,,Active,
BR000134,Brand 134,GEN000027,,,,India,,,Active,
BR000135,Brand 135,GEN000028,,,,India,,,Active,
BR000136,Brand 136,GEN000029,,,,India,,,Active,
BR000137,Brand 137,GEN000030,,,,India,,,Active,
BR000138,Brand 138,GEN000031,,,,India,,,Active,
BR000139,Brand 139,GEN000032,,,,India,,,Active,
BR000140,Brand 140,GEN000033,,,,India,,,Active,
BR000141,Brand 141,GEN000034,,,,India,,,Active,
BR000142,Brand 142,GEN000035,,,,India,,,Active,
BR000143,Brand 143,GEN000036,,,,India,,,Active,
BR000144,Brand 144,GEN000037,,,,India,,,Active,
BR000145,Brand 145,GEN000038,,,,India,,,Active,
BR000146,Brand 146,GEN000039,,,,India,,,Active,
BR000147,Brand 147,GEN000040,,,,India,,,Active,
BR000148,Brand 148,GEN000041,,,,India,,,Active,
BR000149,Brand 149,GEN000042,,,,India,,,Active,
BR000150,Brand 150,GEN000043,,,,India,,,Active,
BR000151,Brand 151,GEN000044,,,,India,,,Active,
BR000152,Brand 152,GEN000045,,,,India,,,Active,
BR000153,Brand 153,GEN000046,,,,India,,,Active,
BR000154,Brand 154,GEN000047,,,,India,,,Active,
BR000155,Brand 155,GEN000048,,,,India,,,Active,
BR000156,Brand 156,GEN000049,,,,India,,,Active,
BR000157,Brand 157,GEN000050,,,,India,,,Active,
BR000158,Brand 158,GEN000051,,,,India,,,Active,
BR000159,Brand 159,GEN000052,,,,India,,,Active,
BR000160,Brand 160,GEN000053,,,,India,,,Active,
BR000161,Brand 161,GEN000054,,,,India,,,Active,
BR000162,Brand 162,GEN000055,,,,India,,,Active,
BR000163,Brand 163,GEN000056,,,,India,,,Active,
BR000164,Brand 164,GEN000057,,,,India,,,Active,
BR000165,Brand 165,GEN000058,,,,India,,,Active,
BR000166,Brand 166,GEN000059,,,,India,,,Active,
BR000167,Brand 167,GEN000060,,,,India,,,Active,
BR000168,Brand 168,GEN000061,,,,India,,,Active,
BR000169,Brand 169,GEN000062,,,,India,,,Active,
BR000170,Brand 170,GEN000063,,,,India,,,Active,
BR000171,Brand 171,GEN000064,,,,India,,,Active,
BR000172,Brand 172,GEN000065,,,,India,,,Active,
BR000173,Brand 173,GEN000066,,,,India,,,Active,
BR000174,Brand 174,GEN000067,,,,India,,,Active,
BR000175,Brand 175,GEN000068,,,,India,,,Active,
BR000176,Brand 176,GEN000069,,,,India,,,Active,
BR000177,Brand 177,GEN000070,,,,India,,,Active,
BR000178,Brand 178,GEN000071,,,,India,,,Active,
BR000179,Brand 179,GEN000072,,,,India,,,Active,
BR000180,Brand 180,GEN000073,,,,India,,,Active,
BR000181,Brand 181,GEN000074,,,,India,,,Active,
BR000182,Brand 182,GEN000075,,,,India,,,Active,
BR000183,Brand 183,GEN000076,,,,India,,,Active,
BR000184,Brand 184,GEN000077,,,,India,,,Active,
BR000185,Brand 185,GEN000078,,,,India,,,Active,
BR000186,Brand 186,GEN000079,,,,India,,,Active,
BR000187,Brand 187,GEN000080,,,,India,,,Active,
BR000188,Brand 188,GEN000081,,,,India,,,Active,
BR000189,Brand 189,GEN000082,,,,India,,,Active,
BR000190,Brand 190,GEN000083,,,,India,,,Active,
BR000191,Brand 191,GEN000084,,,,India,,,Active,
BR000192,Brand 192,GEN000085,,,,India,,,Active,
BR000193,Brand 193,GEN000086,,,,India,,,Active,
BR000194,Brand 194,GEN000087,,,,India,,,Active,
BR000195,Brand 195,GEN000088,,,,India,,,Active,
BR000196,Brand 196,GEN000089,,,,India,,,Active,
BR000197,Brand 197,GEN000090,,,,India,,,Active,
BR000198,Brand 198,GEN000091,,,,India,,,Active,
BR000199,Brand 199,GEN000092,,,,India,,,Active,
BR000200,Brand 200,GEN000093,,,,India,,,Active,
BR000201,Brand 201,GEN000094,,,,India,,,Active,
BR000202,Brand 202,GEN000095,,,,India,,,Active,
BR000203,Brand 203,GEN000096,,,,India,,,Active,
BR000204,Brand 204,GEN000097,,,,India,,,Active,
BR000205,Brand 205,GEN000098,,,,India,,,Active,
BR000206,Brand 206,GEN000099,,,,India,,,Active,
BR000207,Brand 207,GEN000100,,,,India,,,Active,
BR000208,Brand 208,GEN000001,,,,India,,,Active,
BR000209,Brand 209,GEN000002,,,,India,,,Active,
BR000210,Brand 210,GEN000003,,,,India,,,Active,
BR000211,Brand 211,GEN000004,,,,India,,,Active,
BR000212,Brand 212,GEN000005,,,,India,,,Active,
BR000213,Brand 213,GEN000006,,,,India,,,Active,
BR000214,Brand 214,GEN000007,,,,India,,,Active,
BR000215,Brand 215,GEN000008,,,,India,,,Active,
BR000216,Brand 216,GEN000009,,,,India,,,Active,
BR000217,Brand 217,GEN000010,,,,India,,,Active,
BR000218,Brand 218,GEN000011,,,,India,,,Active,
BR000219,Brand 219,GEN000012,,,,India,,,Active,
BR000220,Brand 220,GEN000013,,,,India,,,Active,
BR000221,Brand 221,GEN000014,,,,India,,,Active,
BR000222,Brand 222,GEN000015,,,,India,,,Active,
BR000223,Brand 223,GEN000016,,,,India,,,Active,
BR000224,Brand 224,GEN000017,,,,India,,,Active,
BR000225,Brand 225,GEN000018,,,,India,,,Active,
BR000226,Brand 226,GEN000019,,,,India,,,Active,
BR000227,Brand 227,GEN000020,,,,India,,,Active,
BR000228,Brand 228,GEN000021,,,,India,,,Active,
BR000229,Brand 229,GEN000022,,,,India,,,Active,
BR000230,Brand 230,GEN000023,,,,India,,,Active,
BR000231,Brand 231,GEN000024,,,,India,,,Active,
BR000232,Brand 232,GEN000025,,,,India,,,Active,
BR000233,Brand 233,GEN000026,,,,India,,,Active,
BR000234,Brand 234,GEN000027,,,,India,,,Active,
BR000235,Brand 235,GEN000028,,,,India,,,Active,
BR000236,Brand 236,GEN000029,,,,India,,,Active,
BR000237,Brand 237,GEN000030,,,,India,,,Active,
BR000238,Brand 238,GEN000031,,,,India,,,Active,
BR000239,Brand 239,GEN000032,,,,India,,,Active,
BR000240,Brand 240,GEN000033,,,,India,,,Active,
BR000241,Brand 241,GEN000034,,,,India,,,Active,
BR000242,Brand 242,GEN000035,,,,India,,,Active,
BR000243,Brand 243,GEN000036,,,,India,,,Active,
BR000244,Brand 244,GEN000037,,,,India,,,Active,
BR000245,Brand 245,GEN000038,,,,India,,,Active,
BR000246,Brand 246,GEN000039,,,,India,,,Active,
BR000247,Brand 247,GEN000040,,,,India,,,Active,
BR000248,Brand 248,GEN000041,,,,India,,,Active,
BR000249,Brand 249,GEN000042,,,,India,,,Active,
BR000250,Brand 250,GEN000043,,,,India,,,Active,
BR000251,Brand 251,GEN000044,,,,India,,,Active,
BR000252,Brand 252,GEN000045,,,,India,,,Active,
BR000253,Brand 253,GEN000046,,,,India,,,Active,
BR000254,Brand 254,GEN000047,,,,India,,,Active,
BR000255,Brand 255,GEN000048,,,,India,,,Active,
BR000256,Brand 256,GEN000049,,,,India,,,Active,
BR000257,Brand 257,GEN000050,,,,India,,,Active,
BR000258,Brand 258,GEN000051,,,,India,,,Active,
BR000259,Brand 259,GEN000052,,,,India,,,Active,
BR000260,Brand 260,GEN000053,,,,India,,,Active,
BR000261,Brand 261,GEN000054,,,,India,,,Active,
BR000262,Brand 262,GEN000055,,,,India,,,Active,
BR000263,Brand 263,GEN000056,,,,India,,,Active,
BR000264,Brand 264,GEN000057,,,,India,,,Active,
BR000265,Brand 265,GEN000058,,,,India,,,Active,
BR000266,Brand 266,GEN000059,,,,India,,,Active,
BR000267,Brand 267,GEN000060,,,,India,,,Active,
BR000268,Brand 268,GEN000061,,,,India,,,Active,
BR000269,Brand 269,GEN000062,,,,India,,,Active,
BR000270,Brand 270,GEN000063,,,,India,,,Active,
BR000271,Brand 271,GEN000064,,,,India,,,Active,
BR000272,Brand 272,GEN000065,,,,India,,,Active,
BR000273,Brand 273,GEN000066,,,,India,,,Active,
BR000274,Brand 274,GEN000067,,,,India,,,Active,
BR000275,Brand 275,GEN000068,,,,India,,,Active,
BR000276,Brand 276,GEN000069,,,,India,,,Active,
BR000277,Brand 277,GEN000070,,,,India,,,Active,
BR000278,Brand 278,GEN000071,,,,India,,,Active,
BR000279,Brand 279,GEN000072,,,,India,,,Active,
BR000280,Brand 280,GEN000073,,,,India,,,Active,
BR000281,Brand 281,GEN000074,,,,India,,,Active,
BR000282,Brand 282,GEN000075,,,,India,,,Active,
BR000283,Brand 283,GEN000076,,,,India,,,Active,
BR000284,Brand 284,GEN000077,,,,India,,,Active,
BR000285,Brand 285,GEN000078,,,,India,,,Active,
BR000286,Brand 286,GEN000079,,,,India,,,Active,
BR000287,Brand 287,GEN000080,,,,India,,,Active,
BR000288,Brand 288,GEN000081,,,,India,,,Active,
BR000289,Brand 289,GEN000082,,,,India,,,Active,
BR000290,Brand 290,GEN000083,,,,India,,,Active,
BR000291,Brand 291,GEN000084,,,,India,,,Active,
BR000292,Brand 292,GEN000085,,,,India,,,Active,
BR000293,Brand 293,GEN000086,,,,India,,,Active,
BR000294,Brand 294,GEN000087,,,,India,,,Active,
BR000295,Brand 295,GEN000088,,,,India,,,Active,
BR000296,Brand 296,GEN000089,,,,India,,,Active,
BR000297,Brand 297,GEN000090,,,,India,,,Active,
BR000298,Brand 298,GEN000091,,,,India,,,Active,
BR000299,Brand 299,GEN000092,,,,India,,,Active,
BR000300,Brand 300,GEN000093,,,,India,,,Active,
BR000301,Brand 301,GEN000094,,,,India,,,Active,
BR000302,Brand 302,GEN000095,,,,India,,,Active,
BR000303,Brand 303,GEN000096,,,,India,,,Active,
BR000304,Brand 304,GEN000097,,,,India,,,Active,
BR000305,Brand 305,GEN000098,,,,India,,,Active,
BR000306,Brand 306,GEN000099,,,,India,,,Active,
BR000307,Brand 307,GEN000100,,,,India,,,Active,
BR000308,Brand 308,GEN000001,,,,India,,,Active,
BR000309,Brand 309,GEN000002,,,,India,,,Active,
BR000310,Brand 310,GEN000003,,,,India,,,Active,
BR000311,Brand 311,GEN000004,,,,India,,,Active,
BR000312,Brand 312,GEN000005,,,,India,,,Active,
BR000313,Brand 313,GEN000006,,,,India,,,Active,
BR000314,Brand 314,GEN000007,,,,India,,,Active,
BR000315,Brand 315,GEN000008,,,,India,,,Active,
BR000316,Brand 316,GEN000009,,,,India,,,Active,
BR000317,Brand 317,GEN000010,,,,India,,,Active,
BR000318,Brand 318,GEN000011,,,,India,,,Active,
BR000319,Brand 319,GEN000012,,,,India,,,Active,
BR000320,Brand 320,GEN000013,,,,India,,,Active,
BR000321,Brand 321,GEN000014,,,,India,,,Active,
BR000322,Brand 322,GEN000015,,,,India,,,Active,
BR000323,Brand 323,GEN000016,,,,India,,,Active,
BR000324,Brand 324,GEN000017,,,,India,,,Active,
BR000325,Brand 325,GEN000018,,,,India,,,Active,
BR000326,Brand 326,GEN000019,,,,India,,,Active,
BR000327,Brand 327,GEN000020,,,,India,,,Active,
BR000328,Brand 328,GEN000021,,,,India,,,Active,
BR000329,Brand 329,GEN000022,,,,India,,,Active,
BR000330,Brand 330,GEN000023,,,,India,,,Active,
BR000331,Brand 331,GEN000024,,,,India,,,Active,
BR000332,Brand 332,GEN000025,,,,India,,,Active,
BR000333,Brand 333,GEN000026,,,,India,,,Active,
BR000334,Brand 334,GEN000027,,,,India,,,Active,
BR000335,Brand 335,GEN000028,,,,India,,,Active,
BR000336,Brand 336,GEN000029,,,,India,,,Active,
BR000337,Brand 337,GEN000030,,,,India,,,Active,
BR000338,Brand 338,GEN000031,,,,India,,,Active,
BR000339,Brand 339,GEN000032,,,,India,,,Active,
BR000340,Brand 340,GEN000033,,,,India,,,Active,
BR000341,Brand 341,GEN000034,,,,India,,,Active,
BR000342,Brand 342,GEN000035,,,,India,,,Active,
BR000343,Brand 343,GEN000036,,,,India,,,Active,
BR000344,Brand 344,GEN000037,,,,India,,,Active,
BR000345,Brand 345,GEN000038,,,,India,,,Active,
BR000346,Brand 346,GEN000039,,,,India,,,Active,
BR000347,Brand 347,GEN000040,,,,India,,,Active,
BR000348,Brand 348,GEN000041,,,,India,,,Active,
BR000349,Brand 349,GEN000042,,,,India,,,Active,
BR000350,Brand 350,GEN000043,,,,India,,,Active,
BR000351,Brand 351,GEN000044,,,,India,,,Active,
BR000352,Brand 352,GEN000045,,,,India,,,Active,
BR000353,Brand 353,GEN000046,,,,India,,,Active,
BR000354,Brand 354,GEN000047,,,,India,,,Active,
BR000355,Brand 355,GEN000048,,,,India,,,Active,
BR000356,Brand 356,GEN000049,,,,India,,,Active,
BR000357,Brand 357,GEN000050,,,,India,,,Active,
BR000358,Brand 358,GEN000051,,,,India,,,Active,
BR000359,Brand 359,GEN000052,,,,India,,,Active,
BR000360,Brand 360,GEN000053,,,,India,,,Active,
BR000361,Brand 361,GEN000054,,,,India,,,Active,
BR000362,Brand 362,GEN000055,,,,India,,,Active,
BR000363,Brand 363,GEN000056,,,,India,,,Active,
BR000364,Brand 364,GEN000057,,,,India,,,Active,
BR000365,Brand 365,GEN000058,,,,India,,,Active,
BR000366,Brand 366,GEN000059,,,,India,,,Active,
BR000367,Brand 367,GEN000060,,,,India,,,Active,
BR000368,Brand 368,GEN000061,,,,India,,,Active,
BR000369,Brand 369,GEN000062,,,,India,,,Active,
BR000370,Brand 370,GEN000063,,,,India,,,Active,
BR000371,Brand 371,GEN000064,,,,India,,,Active,
BR000372,Brand 372,GEN000065,,,,India,,,Active,
BR000373,Brand 373,GEN000066,,,,India,,,Active,
BR000374,Brand 374,GEN000067,,,,India,,,Active,
BR000375,Brand 375,GEN000068,,,,India,,,Active,
BR000376,Brand 376,GEN000069,,,,India,,,Active,
BR000377,Brand 377,GEN000070,,,,India,,,Active,
BR000378,Brand 378,GEN000071,,,,India,,,Active,
BR000379,Brand 379,GEN000072,,,,India,,,Active,
BR000380,Brand 380,GEN000073,,,,India,,,Active,
BR000381,Brand 381,GEN000074,,,,India,,,Active,
BR000382,Brand 382,GEN000075,,,,India,,,Active,
BR000383,Brand 383,GEN000076,,,,India,,,Active,
BR000384,Brand 384,GEN000077,,,,India,,,Active,
BR000385,Brand 385,GEN000078,,,,India,,,Active,
BR000386,Brand 386,GEN000079,,,,India,,,Active,
BR000387,Brand 387,GEN000080,,,,India,,,Active,
BR000388,Brand 388,GEN000081,,,,India,,,Active,
BR000389,Brand 389,GEN000082,,,,India,,,Active,
BR000390,Brand 390,GEN000083,,,,India,,,Active,
BR000391,Brand 391,GEN000084,,,,India,,,Active,
BR000392,Brand 392,GEN000085,,,,India,,,Active,
BR000393,Brand 393,GEN000086,,,,India,,,Active,
BR000394,Brand 394,GEN000087,,,,India,,,Active,
BR000395,Brand 395,GEN000088,,,,India,,,Active,
BR000396,Brand 396,GEN000089,,,,India,,,Active,
BR000397,Brand 397,GEN000090,,,,India,,,Active,
BR000398,Brand 398,GEN000091,,,,India,,,Active,
BR000399,Brand 399,GEN000092,,,,India,,,Active,
BR000400,Brand 400,GEN000093,,,,India,,,Active,
BR000401,Brand 401,GEN000094,,,,India,,,Active,
BR000402,Brand 402,GEN000095,,,,India,,,Active,
BR000403,Brand 403,GEN000096,,,,India,,,Active,
BR000404,Brand 404,GEN000097,,,,India,,,Active,
BR000405,Brand 405,GEN000098,,,,India,,,Active,
BR000406,Brand 406,GEN000099,,,,India,,,Active,
BR000407,Brand 407,GEN000100,,,,India,,,Active,
BR000408,Brand 408,GEN000001,,,,India,,,Active,
BR000409,Brand 409,GEN000002,,,,India,,,Active,
BR000410,Brand 410,GEN000003,,,,India,,,Active,
BR000411,Brand 411,GEN000004,,,,India,,,Active,
BR000412,Brand 412,GEN000005,,,,India,,,Active,
BR000413,Brand 413,GEN000006,,,,India,,,Active,
BR000414,Brand 414,GEN000007,,,,India,,,Active,
BR000415,Brand 415,GEN000008,,,,India,,,Active,
BR000416,Brand 416,GEN000009,,,,India,,,Active,
BR000417,Brand 417,GEN000010,,,,India,,,Active,
BR000418,Brand 418,GEN000011,,,,India,,,Active,
BR000419,Brand 419,GEN000012,,,,India,,,Active,
BR000420,Brand 420,GEN000013,,,,India,,,Active,
BR000421,Brand 421,GEN000014,,,,India,,,Active,
BR000422,Brand 422,GEN000015,,,,India,,,Active,
BR000423,Brand 423,GEN000016,,,,India,,,Active,
BR000424,Brand 424,GEN000017,,,,India,,,Active,
BR000425,Brand 425,GEN000018,,,,India,,,Active,
BR000426,Brand 426,GEN000019,,,,India,,,Active,
BR000427,Brand 427,GEN000020,,,,India,,,Active,
BR000428,Brand 428,GEN000021,,,,India,,,Active,
BR000429,Brand 429,GEN000022,,,,India,,,Active,
BR000430,Brand 430,GEN000023,,,,India,,,Active,
BR000431,Brand 431,GEN000024,,,,India,,,Active,
BR000432,Brand 432,GEN000025,,,,India,,,Active,
BR000433,Brand 433,GEN000026,,,,India,,,Active,
BR000434,Brand 434,GEN000027,,,,India,,,Active,
BR000435,Brand 435,GEN000028,,,,India,,,Active,
BR000436,Brand 436,GEN000029,,,,India,,,Active,
BR000437,Brand 437,GEN000030,,,,India,,,Active,
BR000438,Brand 438,GEN000031,,,,India,,,Active,
BR000439,Brand 439,GEN000032,,,,India,,,Active,
BR000440,Brand 440,GEN000033,,,,India,,,Active,
BR000441,Brand 441,GEN000034,,,,India,,,Active,
BR000442,Brand 442,GEN000035,,,,India,,,Active,
BR000443,Brand 443,GEN000036,,,,India,,,Active,
BR000444,Brand 444,GEN000037,,,,India,,,Active,
BR000445,Brand 445,GEN000038,,,,India,,,Active,
BR000446,Brand 446,GEN000039,,,,India,,,Active,
BR000447,Brand 447,GEN000040,,,,India,,,Active,
BR000448,Brand 448,GEN000041,,,,India,,,Active,
BR000449,Brand 449,GEN000042,,,,India,,,Active,
BR000450,Brand 450,GEN000043,,,,India,,,Active,
BR000451,Brand 451,GEN000044,,,,India,,,Active,
BR000452,Brand 452,GEN000045,,,,India,,,Active,
BR000453,Brand 453,GEN000046,,,,India,,,Active,
BR000454,Brand 454,GEN000047,,,,India,,,Active,
BR000455,Brand 455,GEN000048,,,,India,,,Active,
BR000456,Brand 456,GEN000049,,,,India,,,Active,
BR000457,Brand 457,GEN000050,,,,India,,,Active,
BR000458,Brand 458,GEN000051,,,,India,,,Active,
BR000459,Brand 459,GEN000052,,,,India,,,Active,
BR000460,Brand 460,GEN000053,,,,India,,,Active,
BR000461,Brand 461,GEN000054,,,,India,,,Active,
BR000462,Brand 462,GEN000055,,,,India,,,Active,
BR000463,Brand 463,GEN000056,,,,India,,,Active,
BR000464,Brand 464,GEN000057,,,,India,,,Active,
BR000465,Brand 465,GEN000058,,,,India,,,Active,
BR000466,Brand 466,GEN000059,,,,India,,,Active,
BR000467,Brand 467,GEN000060,,,,India,,,Active,
BR000468,Brand 468,GEN000061,,,,India,,,Active,
BR000469,Brand 469,GEN000062,,,,India,,,Active,
BR000470,Brand 470,GEN000063,,,,India,,,Active,
BR000471,Brand 471,GEN000064,,,,India,,,Active,
BR000472,Brand 472,GEN000065,,,,India,,,Active,
BR000473,Brand 473,GEN000066,,,,India,,,Active,
BR000474,Brand 474,GEN000067,,,,India,,,Active,
BR000475,Brand 475,GEN000068,,,,India,,,Active,
BR000476,Brand 476,GEN000069,,,,India,,,Active,
BR000477,Brand 477,GEN000070,,,,India,,,Active,
BR000478,Brand 478,GEN000071,,,,India,,,Active,
BR000479,Brand 479,GEN000072,,,,India,,,Active,
BR000480,Brand 480,GEN000073,,,,India,,,Active,
