Product_ID,Brand_ID,Generic_ID,Company_ID,Strength,Unit_Size,MRP,Status
PROD000102,BRD000109,GEN000109,COMP000001,Standard,Vial & Wfi,135.0,Active
PROD000103,BRD000110,GEN000110,COMP000001,Standard,15 gm tubes,27.19,Active
PROD000104,BRD000112,GEN000112,COMP000001,Standard,15 g tubes,20.63,Active
PROD000105,BRD000113,GEN000113,COMP000001,Standard,15g tube,10.31,Active
PROD000106,BRD000115,GEN000115,COMP000001,Standard,100 ml,26.25,Active
PROD000107,BRD000117,GEN000117,COMP000001,Standard,100 ml,23.72,Active
PROD000108,BRD000118,GEN000118,COMP000001,Standard,15 gm Tube,15.47,Active
PROD000109,BRD000120,GEN000120,COMP000001,Standard,5 gm Tube,23.44,Active
PROD000110,BRD000122,GEN000122,COMP000001,Standard,100 ml Bottle,51.56,Active
PROD000111,BRD000124,GEN000124,COMP000001,Standard,250 gm tubes/Jar,107.81,Active
PROD000112,BRD000125,GEN000125,COMP000001,Standard,15 gm tubes,15.88,Active
PROD000113,BRD000126,GEN000126,COMP000001,Standard,500 ml,135.94,Active
PROD000114,BRD000127,GEN000127,COMP000001,Standard,100 ml,21.66,Active
PROD000115,BRD000129,GEN000129,COMP000001,Standard,500 ml,113.44,Active
PROD000116,BRD000131,GEN000131,COMP000001,Standard,20 gm,28.13,Active
PROD000117,BRD000132,GEN000132,COMP000001,Standard,500 gm,468.75,Active
PROD000118,BRD000133,GEN000133,COMP000001,Standard,10's,2.81,Active
PROD000119,BRD000134,GEN000134,COMP000001,Standard,10's,5.68,Active
PROD000120,BRD000135,GEN000135,COMP000001,Standard,10's,15.88,Active
PROD000121,BRD000136,GEN000136,COMP000001,Standard,10's,24.75,Active
PROD000122,BRD000137,GEN000137,COMP000001,Standard,10's,4.54,Active
PROD000123,BRD000138,GEN000138,COMP000001,Standard,10's,5.68,Active
PROD000124,BRD000141,GEN000141,COMP000001,Standard,10's,4.74,Active
PROD000125,BRD000142,GEN000142,COMP000001,Standard,10 ml Vial,85.91,Active
PROD000126,BRD000143,GEN000143,COMP000001,Standard,10 ml Vial,91.35,Active
PROD000127,BRD000144,GEN000144,COMP000001,Standard,10's,13.62,Active
PROD000128,BRD000145,GEN000145,COMP000001,Standard,10's,6.81,Active
PROD000129,BRD000147,GEN000147,COMP000001,Standard,10's,13.62,Active
PROD000130,BRD000150,GEN000150,COMP000001,Standard,10's,27.84,Active
PROD000131,BRD000152,GEN000152,COMP000001,Standard,Vial,300.0,Active
PROD000132,BRD000153,GEN000153,COMP000001,Standard,Vial,32.81,Active
PROD000133,BRD000154,GEN000154,COMP000001,Standard,Vial,160.88,Active
PROD000134,BRD000156,GEN000156,COMP000001,Standard,Vial,281.25,Active
PROD000135,BRD000158,GEN000158,COMP000001,Standard,Vial,92.81,Active
PROD000136,BRD000159,GEN000159,COMP000001,Standard,Vial,783.75,Active
PROD000137,BRD000160,GEN000160,COMP000001,Standard,Vial,225.0,Active
PROD000138,BRD000163,GEN000163,COMP000001,Standard,10's,10.31,Active
PROD000139,BRD000164,GEN000164,COMP000001,Standard,10's,15.0,Active
PROD000140,BRD000165,GEN000165,COMP000001,Standard,100 ml,11.25,Active
PROD000141,BRD000170,GEN000170,COMP000001,Standard,100 ml,26.25,Active
PROD000142,BRD000171,GEN000171,COMP000001,Standard,350 ml,46.88,Active
PROD000143,BRD000172,GEN000172,COMP000001,Standard,100 ml,8.25,Active
PROD000144,BRD000177,GEN000177,COMP000001,Standard,10 ml,7.5,Active
PROD000145,BRD000178,GEN000178,COMP000001,Standard,1's,6.81,Active
PROD000146,BRD000180,GEN000180,COMP000001,Standard,10's,6.19,Active
PROD000147,BRD000181,GEN000181,COMP000001,Standard,200 ml,35.63,Active
PROD000148,BRD000183,GEN000183,COMP000001,Standard,10's,0.94,Active
PROD000149,BRD000184,GEN000184,COMP000001,Standard,10's,7.5,Active
PROD000150,BRD000186,GEN000186,COMP000001,Standard,10's,4.54,Active
PROD000151,BRD000187,GEN000187,COMP000001,Standard,30 ml,12.19,Active
PROD000152,BRD000188,GEN000188,COMP000001,Standard,10's,6.19,Active
PROD000153,BRD000191,GEN000191,COMP000001,Standard,14's,2.81,Active
PROD000154,BRD000192,GEN000192,COMP000001,Standard,14's,4.99,Active
PROD000155,BRD000193,GEN000193,COMP000001,Standard,10's,0.94,Active
PROD000156,BRD000194,GEN000194,COMP000001,Standard,10's,16.5,Active
PROD000157,BRD000196,GEN000196,COMP000001,Standard,10's,7.94,Active
PROD000158,BRD000197,GEN000197,COMP000001,Standard,100 ml,57.0,Active
PROD000159,BRD000198,GEN000198,COMP000001,Standard,170 ml,33.0,Active
PROD000160,BRD000199,GEN000199,COMP000001,Standard,10's,7.5,Active
PROD000161,BRD000200,GEN000200,COMP000001,Standard,2ml Ampoule,2.81,Active
PROD000162,BRD000201,GEN000201,COMP000001,Standard,10's,4.41,Active
PROD000163,BRD000202,GEN000202,COMP000001,Standard,10's,7.22,Active
PROD000164,BRD000203,GEN000203,COMP000001,Standard,4's,18.75,Active
PROD000165,BRD000206,GEN000206,COMP000001,Standard,10's,11.34,Active
PROD000166,BRD000207,GEN000207,COMP000001,Standard,10's,10.21,Active
PROD000167,BRD000208,GEN000208,COMP000001,Standard,2 ml,4.54,Active
PROD000168,BRD000209,GEN000209,COMP000001,Standard,10's,6.81,Active
PROD000169,BRD000210,GEN000210,COMP000001,Standard,10's,23.44,Active
PROD000170,BRD000212,GEN000212,COMP000001,Standard,10's,12.47,Active
PROD000171,BRD000213,GEN000213,COMP000001,Standard,Vial,23.83,Active
PROD000172,BRD000214,GEN000214,COMP000001,Standard,10's,18.57,Active
PROD000173,BRD000215,GEN000215,COMP000001,Standard,10's,9.08,Active
PROD000174,BRD000216,GEN000216,COMP000001,Standard,2 ml,3.75,Active
PROD000175,BRD000217,GEN000217,COMP000001,Standard,10's,6.19,Active
PROD000176,BRD000218,GEN000218,COMP000001,Standard,10's,13.41,Active
PROD000177,BRD000220,GEN000220,COMP000001,Standard,10's,7.94,Active
PROD000178,BRD000223,GEN000223,COMP000001,Standard,30's,32.81,Active
PROD000179,BRD000224,GEN000224,COMP000001,Standard,15's,4.54,Active
PROD000180,BRD000225,GEN000225,COMP000001,Standard,200 ml,33.0,Active
PROD000181,BRD000227,GEN000227,COMP000001,Standard,10's,7.22,Active
PROD000182,BRD000230,GEN000230,COMP000001,Standard,10's,10.21,Active
PROD000183,BRD000231,GEN000231,COMP000001,Standard,10's,16.5,Active
PROD000184,BRD000232,GEN000232,COMP000001,Standard,200 ml,39.38,Active
PROD000185,BRD000235,GEN000235,COMP000001,Standard,2 ml,12.8,Active
PROD000186,BRD000236,GEN000236,COMP000001,Standard,200 MDI,115.31,Active
PROD000187,BRD000238,GEN000238,COMP000001,Standard,200 md,150.0,Active
PROD000188,BRD000239,GEN000239,COMP000001,Standard,60 ml,13.41,Active
PROD000189,BRD000240,GEN000240,COMP000001,Standard,10's,5.68,Active
PROD000190,BRD000245,GEN000245,COMP000001,Standard,10's,5.16,Active
PROD000191,BRD000246,GEN000246,COMP000001,Standard,10's,24.75,Active
PROD000192,BRD000247,GEN000247,COMP000001,Standard,10's,35.06,Active
PROD000193,BRD000248,GEN000248,COMP000001,Standard,10's,7.94,Active
PROD000194,BRD000250,GEN000250,COMP000001,Standard,10's,14.06,Active
PROD000195,BRD000251,GEN000251,COMP000001,Standard,10's,20.42,Active
PROD000196,BRD000252,GEN000252,COMP000001,Standard,10's,20.63,Active
PROD000197,BRD000253,GEN000253,COMP000001,Standard,15's,4.69,Active
PROD000198,BRD000254,GEN000254,COMP000001,Standard,100 ml,13.13,Active
PROD000199,BRD000255,GEN000255,COMP000001,Standard,200 md,52.5,Active
PROD000200,BRD000256,GEN000256,COMP000001,Standard,10's,0.94,Active
PROD000201,BRD000259,GEN000259,COMP000001,Standard,100 ml,10.31,Active
PROD000202,BRD000260,GEN000260,COMP000001,Standard,10's,1.88,Active
PROD000203,BRD000261,GEN000261,COMP000001,Standard,2 ml,98.44,Active
PROD000204,BRD000263,GEN000263,COMP000001,Standard,10's,7.22,Active
PROD000205,BRD000264,GEN000264,COMP000001,Standard,10's,5.68,Active
PROD000206,BRD000265,GEN000265,COMP000001,Standard,14's,6.81,Active
PROD000207,BRD000266,GEN000266,COMP000001,Standard,10's,9.08,Active
PROD000208,BRD000267,GEN000267,COMP000001,Standard,10's,12.47,Active
PROD000209,BRD000268,GEN000268,COMP000001,Standard,10's,10.5,Active
PROD000210,BRD000269,GEN000269,COMP000001,Standard,10's,19.28,Active
PROD000211,BRD000270,GEN000270,COMP000001,Standard,10's,21.66,Active
PROD000212,BRD000271,GEN000271,COMP000001,Standard,10's,11.34,Active
PROD000213,BRD000272,GEN000272,COMP000001,Standard,10's,15.94,Active
PROD000214,BRD000273,GEN000273,COMP000001,Standard,Vial,35.63,Active
PROD000215,BRD000274,GEN000274,COMP000001,Standard,5 ml,15.0,Active
PROD000216,BRD000275,GEN000275,COMP000001,Standard,10's,5.68,Active
PROD000217,BRD000276,GEN000276,COMP000001,Standard,0.4 ml,187.0,Active
PROD000218,BRD000277,GEN000277,COMP000001,Standard,0.6 ml,217.8,Active
PROD000219,BRD000278,GEN000278,COMP000001,Standard,2 ml,2.81,Active
PROD000220,BRD000279,GEN000279,COMP000001,Standard,10's,4.94,Active
PROD000221,BRD000280,GEN000280,COMP000001,Standard,5 ml,40.22,Active
PROD000222,BRD000281,GEN000281,COMP000001,Standard,5 ml,187.5,Active
PROD000223,BRD000283,GEN000283,COMP000001,Standard,50's,19.69,Active
PROD000224,BRD000285,GEN000285,COMP000001,Standard,15's,15.0,Active
PROD000225,BRD000286,GEN000286,COMP000001,Standard,10's,9.38,Active
PROD000226,BRD000287,GEN000287,COMP000001,Standard,10's,13.62,Active
PROD000227,BRD000288,GEN000288,COMP000001,Standard,10's,7.94,Active
PROD000228,BRD000289,GEN000289,COMP000001,Standard,10's,12.47,Active
PROD000229,BRD000290,GEN000290,COMP000001,Standard,10's,6.81,Active
PROD000230,BRD000291,GEN000291,COMP000001,Standard,10's,10.21,Active
PROD000231,BRD000293,GEN000293,COMP000001,Standard,10's,7.94,Active
PROD000232,BRD000294,GEN000294,COMP000001,Standard,10's,10.32,Active
PROD000233,BRD000295,GEN000295,COMP000001,Standard,10's,10.31,Active
PROD000234,BRD000296,GEN000296,COMP000001,Standard,10's,15.0,Active
PROD000235,BRD000298,GEN000298,COMP000001,Standard,10's,17.53,Active
PROD000236,BRD000299,GEN000299,COMP000001,Standard,10's,11.34,Active
PROD000237,BRD000300,GEN000300,COMP000001,Standard,10's,12.38,Active
PROD000238,BRD000301,GEN000301,COMP000001,Standard,10's,74.0,Active
PROD000239,BRD000302,GEN000302,COMP000001,Standard,5 ml Amp.,24.0,Active
PROD000240,BRD000304,GEN000304,COMP000001,Standard,2 ml Ampoule,17.81,Active
PROD000241,BRD000305,GEN000305,COMP000001,Standard,10's,5.0,Active
PROD000242,BRD000311,GEN000311,COMP000001,Standard,100 ml,22.69,Active
PROD000243,BRD000312,GEN000312,COMP000001,Standard,1's,10.98,Active
PROD000244,BRD000313,GEN000313,COMP000001,Standard,10's,4.54,Active
PROD000245,BRD000314,GEN000314,COMP000001,Standard,10's,7.94,Active
PROD000246,BRD000316,GEN000316,COMP000001,Standard,10's,9.08,Active
PROD000247,BRD000317,GEN000317,COMP000001,Standard,10's,7.5,Active
PROD000248,BRD000319,GEN000319,COMP000001,Standard,10's,5.68,Active
PROD000249,BRD000320,GEN000320,COMP000001,Standard,10's,5.63,Active
PROD000250,BRD000321,GEN000321,COMP000001,Standard,10's,10.32,Active
PROD000251,BRD000322,GEN000322,COMP000001,Standard,10's,18.75,Active
PROD000252,BRD000323,GEN000323,COMP000001,Standard,10's,7.5,Active
PROD000253,BRD000324,GEN000324,COMP000001,Standard,10's,6.56,Active
PROD000254,BRD000325,GEN000325,COMP000001,Standard,10's,9.08,Active
PROD000255,BRD000326,GEN000326,COMP000001,Standard,10's,10.31,Active
PROD000256,BRD000327,GEN000327,COMP000001,Standard,100's in Bottle,56.72,Active
PROD000257,BRD000328,GEN000328,COMP000001,Standard,10's,5.63,Active
PROD000258,BRD000329,GEN000329,COMP000001,Standard,15's,7.5,Active
PROD000259,BRD000330,GEN000330,COMP000001,Standard,10's,8.44,Active
PROD000260,BRD000332,GEN000332,COMP000001,Standard,100's,70.33,Active
PROD000261,BRD000333,GEN000333,COMP000001,Standard,10's,1.88,Active
PROD000262,BRD000334,GEN000334,COMP000001,Standard,2 ml,5.63,Active
PROD000263,BRD000336,GEN000336,COMP000001,Standard,10's,10.31,Active
PROD000264,BRD000337,GEN000337,COMP000001,Standard,10's,20.63,Active
PROD000265,BRD000338,GEN000338,COMP000001,Standard,1 ml,2.0,Active
PROD000266,BRD000341,GEN000341,COMP000001,Standard,10 ml,27.23,Active
PROD000267,BRD000344,GEN000344,COMP000001,Standard,5 ml,6.56,Active
PROD000268,BRD000345,GEN000345,COMP000001,Standard,10 ml,5.63,Active
PROD000269,BRD000351,GEN000351,COMP000001,Standard,10 ml,13.62,Active
PROD000270,BRD000352,GEN000352,COMP000001,Standard,20 ml,36.56,Active
PROD000271,BRD000356,GEN000356,COMP000001,Standard,30 ml Vial,15.94,Active
PROD000272,BRD000357,GEN000357,COMP000001,Standard,30 ml Vial,20.63,Active
PROD000273,BRD000358,GEN000358,COMP000001,Standard,10 ml Vial,36.56,Active
PROD000274,BRD000359,GEN000359,COMP000001,Standard,0.5 ml Ampoule,6.5,Active
PROD000275,BRD000360,GEN000360,COMP000001,Standard,1's,62.81,Active
PROD000276,BRD000362,GEN000362,COMP000001,Standard,10 ML VIAL,96.8,Active
PROD000277,BRD000363,GEN000363,COMP000001,Standard,Cartridge 3 ml,340.0,Active
PROD000278,BRD000366,GEN000366,COMP000001,Standard,10's,9.28,Active
PROD000279,BRD000367,GEN000367,COMP000001,Standard,10's,15.88,Active
PROD000280,BRD000368,GEN000368,COMP000001,Standard,10's,45.38,Active
PROD000281,BRD000369,GEN000369,COMP000001,Standard,10's,63.94,Active
PROD000282,BRD000371,GEN000371,COMP000001,Standard,10's,12.47,Active
PROD000283,BRD000372,GEN000372,COMP000001,Standard,10's,10.79,Active
PROD000284,BRD000373,GEN000373,COMP000001,Standard,1 vial,21.56,Active
PROD000285,BRD000375,GEN000375,COMP000001,Standard,10's,31.0,Active
PROD000286,BRD000376,GEN000376,COMP000001,Standard,Vial & Wfi,309.38,Active
PROD000287,BRD000377,GEN000377,COMP000001,Standard,10's,84.38,Active
PROD000288,BRD000380,GEN000380,COMP000001,Standard,4's,67.5,Active
PROD000289,BRD000381,GEN000381,COMP000001,Standard,10's,52.18,Active
PROD000290,BRD000382,GEN000382,COMP000001,Standard,10's,154.69,Active
PROD000291,BRD000383,GEN000383,COMP000001,Standard,6's,74.25,Active
PROD000292,BRD000384,GEN000384,COMP000001,Standard,4's,24.96,Active
PROD000293,BRD000385,GEN000385,COMP000001,Standard,10's,120.0,Active
PROD000294,BRD000386,GEN000386,COMP000001,Standard,30's,9.0,Active
PROD000295,BRD000387,GEN000387,COMP000001,Standard,7's,42.28,Active
PROD000296,BRD000391,GEN000391,COMP000001,Standard,5's,61.88,Active
PROD000297,BRD000392,GEN000392,COMP000001,Standard,10's,15.0,Active
PROD000298,BRD000393,GEN000393,COMP000001,Standard,5's,41.25,Active
PROD000299,BRD000395,GEN000395,COMP000001,Standard,6's,102.19,Active
PROD000300,BRD000396,GEN000396,COMP000001,Standard,20 ml,2700.0,Active
PROD000301,BRD000400,GEN000400,COMP000001,Standard,10's,26.25,Active
PROD000302,BRD000401,GEN000401,COMP000001,Standard,6's,45.39,Active
PROD000303,BRD000402,GEN000402,COMP000001,Standard,6's,72.19,Active
PROD000304,BRD000403,GEN000403,COMP000001,Standard,2 ML,55.0,Active
PROD000305,BRD000404,GEN000404,COMP000001,Standard,300 ml,113.44,Active
PROD000306,BRD000405,GEN000405,COMP000001,Standard,100 ml,30.94,Active
PROD000307,BRD000407,GEN000407,COMP000001,Standard,10's,21.66,Active
PROD000308,BRD000410,GEN000410,COMP000001,Standard,1's,14062.5,Active
PROD000309,BRD000412,GEN000412,COMP000001,Standard,10's,45.0,Active
PROD000310,BRD000413,GEN000413,COMP000001,Standard,10's,25.0,Active
PROD000311,BRD000414,GEN000414,COMP000001,Standard,10's,76.88,Active
PROD000312,BRD000416,GEN000416,COMP000001,Standard,15's,31.77,Active
PROD000313,BRD000417,GEN000417,COMP000001,Standard,15's,24.96,Active
PROD000314,BRD000418,GEN000418,COMP000001,Standard,10's,29.49,Active
PROD000315,BRD000419,GEN000419,COMP000001,Standard,20 gm,37.5,Active
PROD000316,BRD000420,GEN000420,COMP000001,Standard,10's,39.7,Active
PROD000317,BRD000421,GEN000421,COMP000001,Standard,10's,25.78,Active
PROD000318,BRD000422,GEN000422,COMP000001,Standard,15's,17.53,Active
PROD000319,BRD000423,GEN000423,COMP000001,Standard,10's,15.47,Active
PROD000320,BRD000424,GEN000424,COMP000001,Standard,10's,7.94,Active
PROD000321,BRD000425,GEN000425,COMP000001,Standard,10's,37.43,Active
PROD000322,BRD000426,GEN000426,COMP000001,Standard,30's,33.75,Active
PROD000323,BRD000427,GEN000427,COMP000001,Standard,10's,12.47,Active
PROD000324,BRD000428,GEN000428,COMP000001,Standard,10's,8.44,Active
PROD000325,BRD000429,GEN000429,COMP000001,Standard,15's,30.94,Active
PROD000326,BRD000430,GEN000430,COMP000001,Standard,10's,55.31,Active
PROD000327,BRD000431,GEN000431,COMP000001,Standard,10's,13.13,Active
PROD000328,BRD000432,GEN000432,COMP000001,Standard,10's,37.43,Active
PROD000329,BRD000433,GEN000433,COMP000001,Standard,30's,65.63,Active
PROD000330,BRD000434,GEN000434,COMP000001,Standard,10's,6.81,Active
PROD000331,BRD000435,GEN000435,COMP000001,Standard,10's,35.17,Active
PROD000332,BRD000436,GEN000436,COMP000001,Standard,10's,22.69,Active
PROD000333,BRD000437,GEN000437,COMP000001,Standard,10's,9.28,Active
PROD000334,BRD000438,GEN000438,COMP000001,Standard,10's,24.38,Active
PROD000335,BRD000439,GEN000439,COMP000001,Standard,10's,30.94,Active
PROD000336,BRD000440,GEN000440,COMP000001,Standard,7's,11.34,Active
PROD000337,BRD000441,GEN000441,COMP000001,Standard,10's,22.69,Active
PROD000338,BRD000442,GEN000442,COMP000001,Standard,10's,27.84,Active
PROD000339,BRD000443,GEN000443,COMP000001,Standard,50's,18.75,Active
PROD000340,BRD000444,GEN000444,COMP000001,Standard,30's,56.25,Active
PROD000341,BRD000445,GEN000445,COMP000001,Standard,10's,25.78,Active
PROD000342,BRD000446,GEN000446,COMP000001,Standard,10's,17.02,Active
PROD000343,BRD000447,GEN000447,COMP000001,Standard,10's,48.47,Active
PROD000344,BRD000448,GEN000448,COMP000001,Standard,10's,23.44,Active
PROD000345,BRD000449,GEN000449,COMP000001,Standard,15's,20.63,Active
PROD000346,BRD000450,GEN000450,COMP000001,Standard,10's,42.19,Active
PROD000347,BRD000451,GEN000451,COMP000001,Standard,10 ml & wfi,932.81,Active
PROD000348,BRD000452,GEN000452,COMP000001,Standard,10's,16.88,Active
PROD000349,BRD000453,GEN000453,COMP000001,Standard,10's,15.47,Active
PROD000350,BRD000454,GEN000454,COMP000001,Standard,10's,34.03,Active
PROD000351,BRD000455,GEN000455,COMP000001,Standard,10's,13.13,Active
PROD000352,BRD000456,GEN000456,COMP000001,Standard,10's,22.69,Active
PROD000353,BRD000457,GEN000457,COMP000001,Standard,10's,20.42,Active
PROD000354,BRD000458,GEN000458,COMP000001,Standard,4 ml Ampoule,55.31,Active
