Interaction_ID,Generic_A,Generic_B,Severity,Mechanism,Clinical_Effect,Management,Evidence_Level,Primary_Reference,Status,created_at,updated_at,version
INT000011,Amoxicillin,Methotrexate,Major,Reduced renal clearance of methotrexate by penicillins,Increased methotrexate toxicity and bone marrow suppression,Avoid combination if possible or monitor CBC and renal function closely,High,BNF,Active,2026-07-12 09:53:20.963476,2026-07-12 09:53:20.963476,1.0
INT000012,Amoxicillin,Warfarin,Moderate,Alteration of intestinal flora may enhance anticoagulant effect,Increased INR and bleeding risk,Monitor INR closely and adjust warfarin dose if required,Moderate,BNF,Active,2026-07-12 09:53:20.963476,2026-07-12 09:53:20.963476,1.0
INT000013,Allopurinol,Amoxicillin,Moderate,Concurrent use increases incidence of hypersensitivity reactions,Higher risk of skin rash,Use cautiously and discontinue if rash develops,Moderate,BNF,Active,2026-07-12 09:53:20.963476,2026-07-12 09:53:20.963476,1.0
INT000014,Amoxicillin,Doxycycline,Moderate,Bacteriostatic antibiotics may reduce bactericidal activity of penicillins,Possible reduction in antibacterial efficacy,Avoid routine combination unless clinically indicated,Moderate,BNF,Active,2026-07-12 09:53:20.963476,2026-07-12 09:53:20.963476,1.0
INT000015,Amoxicillin,Probenecid,Moderate,Probenecid decreases renal tubular secretion of amoxicillin,Increased and prolonged amoxicillin plasma concentration,Dose adjustment usually not required but monitor for adverse effects,High,BNF,Active,2026-07-12 09:53:20.963476,2026-07-12 09:53:20.963476,1.0
INT000016,Cefixime,Warfarin,Moderate,Cephalosporins may potentiate anticoagulant effect,Increased INR and bleeding risk,Monitor INR during therapy,Moderate,BNF,Active,2026-07-12 09:53:20.963476,2026-07-12 09:53:20.963476,1.0
INT000017,Carbamazepine,Cefixime,Moderate,Cefixime may increase carbamazepine serum concentration,Risk of carbamazepine toxicity,Monitor carbamazepine levels and clinical response,Moderate,BNF,Active,2026-07-12 09:53:20.963476,2026-07-12 09:53:20.963476,1.0
INT000018,Cefixime,Probenecid,Moderate,Reduced renal elimination of cefixime,Increased cefixime exposure,Monitor for adverse effects,Moderate,BNF,Active,2026-07-12 09:53:20.963476,2026-07-12 09:53:20.963476,1.0
INT000019,Cefixime,Live Typhoid Vaccine,Major,Antibiotic may reduce effectiveness of live vaccine,Vaccine failure,Avoid vaccine during antibiotic therapy and for at least 3 days after completion,High,CDC,Active,2026-07-12 09:53:20.963476,2026-07-12 09:53:20.963476,1.0
INT000020,Cefixime,Furosemide,Moderate,Potential additive nephrotoxicity with cephalosporins,Increased renal impairment risk,Monitor renal function in high-risk patients,Moderate,BNF,Active,2026-07-12 09:53:20.963476,2026-07-12 09:53:20.963476,1.0
INT000021,Chlorzoxazone + Diclofenac + Paracetamol,Warfarin,Major,Diclofenac increases bleeding risk while paracetamol may potentiate anticoagulation,Major bleeding risk,Avoid if possible and monitor INR closely,High,BNF,Active,2026-07-12 09:53:20.963476,2026-07-12 09:53:20.963476,1.0
INT000022,Chlorzoxazone + Diclofenac + Paracetamol,Methotrexate,Major,NSAIDs reduce methotrexate clearance,Severe methotrexate toxicity,Avoid combination or monitor CBC liver and renal function closely,High,BNF,Active,2026-07-12 09:53:20.963476,2026-07-12 09:53:20.963476,1.0
INT000023,Alcohol,Chlorzoxazone + Diclofenac + Paracetamol,Major,Alcohol increases CNS depression and hepatotoxicity,Excess sedation and liver injury,Avoid alcohol during treatment,High,BNF,Active,2026-07-12 09:53:20.963476,2026-07-12 09:53:20.963476,1.0
INT000024,ACE Inhibitors,Chlorzoxazone + Diclofenac + Paracetamol,Moderate,NSAIDs may reduce antihypertensive effect and impair renal function,Reduced BP control and renal impairment,Monitor blood pressure and renal function,Moderate,BNF,Active,2026-07-12 09:53:20.963476,2026-07-12 09:53:20.963476,1.0
INT000025,Chlorzoxazone + Diclofenac + Paracetamol,Corticosteroids,Major,Combined use markedly increases gastrointestinal bleeding risk,GI ulceration and bleeding,Use gastroprotection and monitor for GI symptoms,High,BNF,Active,2026-07-12 09:53:20.963476,2026-07-12 09:53:20.963476,1.0
